pathway_id,name,category,protein_count,pct_total
map01100,Metabolic pathways,Other,845,6.79
map01110,Biosynthesis of secondary metabolites,Other,388,3.12
map03010,Ribosome,Genetic Information Processing,261,2.1
map05200,Pathways in cancer,Human Diseases,244,1.96
map01130,map01130,Other,214,1.72
map04714,Thermogenesis,Organismal Systems,181,1.45
map04141,Protein processing in endoplasmic reticulum,Genetic Information Processing,171,1.37
map01120,Microbial metabolism in diverse environments,Other,168,1.35
map05205,Proteoglycans in cancer,Human Diseases,167,1.34
map04144,Endocytosis,Cellular Processes,155,1.25
map04151,PI3K-Akt signaling pathway,Environmental Information Processing,147,1.18
map05165,Human papillomavirus infection,Human Diseases,144,1.16
map05010,Alzheimer disease,Human Diseases,143,1.15
map05016,Huntington disease,Human Diseases,142,1.14
map04010,MAPK signaling pathway,Environmental Information Processing,141,1.13
map00983,Drug metabolism - other enzymes,Metabolism,140,1.12
map04932,Non-alcoholic fatty liver disease,Human Diseases,138,1.11
map04510,Focal adhesion,Cellular Processes,137,1.1
map05012,Parkinson disease,Human Diseases,134,1.08
map05231,Choline metabolism in cancer,Human Diseases,129,1.04
map01200,Carbon metabolism,Other,129,1.04
map04810,Regulation of actin cytoskeleton,Cellular Processes,129,1.04
map00980,Metabolism of xenobiotics by cytochrome P450,Metabolism,122,0.98
map05169,Epstein-Barr virus infection,Human Diseases,122,0.98
map03040,Spliceosome,Genetic Information Processing,121,0.97
map05204,Chemical carcinogenesis - DNA adducts,Human Diseases,120,0.96
map00190,Oxidative phosphorylation,Metabolism,120,0.96
map05166,Human T-cell leukemia virus 1 infection,Human Diseases,116,0.93
map04022,cGMP-PKG signaling pathway,Environmental Information Processing,115,0.92
map00982,Drug metabolism - cytochrome P450,Metabolism,115,0.92
map04024,cAMP signaling pathway,Environmental Information Processing,115,0.92
map04910,Insulin signaling pathway,Organismal Systems,113,0.91
map03013,Nucleocytoplasmic transport,Genetic Information Processing,112,0.9
map05203,Viral carcinogenesis,Human Diseases,111,0.89
map04015,Rap1 signaling pathway,Environmental Information Processing,109,0.88
map05418,Fluid shear stress and atherosclerosis,Human Diseases,106,0.85
map04530,Tight junction,Cellular Processes,105,0.84
map04150,mTOR signaling pathway,Environmental Information Processing,104,0.84
map04921,Oxytocin signaling pathway,Organismal Systems,104,0.84
map04152,AMPK signaling pathway,Environmental Information Processing,101,0.81
map00040,Pentose and glucuronate interconversions,Metabolism,100,0.8
map00140,Steroid hormone biosynthesis,Metabolism,100,0.8
map04261,Adrenergic signaling in cardiomyocytes,Organismal Systems,99,0.8
map00310,Lysine degradation,Metabolism,99,0.8
map00860,Porphyrin metabolism,Metabolism,98,0.79
map05206,MicroRNAs in cancer,Human Diseases,98,0.79
map00053,Ascorbate and aldarate metabolism,Metabolism,98,0.79
map00230,Purine metabolism,Metabolism,97,0.78
map04142,Lysosome biogenesis,Cellular Processes,95,0.76
map00830,Retinol metabolism,Metabolism,94,0.76
map04931,Insulin resistance,Human Diseases,91,0.73
map04360,Axon guidance,Organismal Systems,90,0.72
map04120,Ubiquitin mediated proteolysis,Genetic Information Processing,90,0.72
map04062,Chemokine signaling pathway,Organismal Systems,90,0.72
map05202,Transcriptional misregulation in cancer,Human Diseases,90,0.72
map04722,Neurotrophin signaling pathway,Organismal Systems,89,0.72
map04919,Thyroid hormone signaling pathway,Organismal Systems,89,0.72
map05168,Herpes simplex virus 1 infection,Human Diseases,89,0.72
map04212,Longevity regulating pathway - worm,Organismal Systems,88,0.71
map01230,Biosynthesis of amino acids,Other,87,0.7
map04014,Ras signaling pathway,Environmental Information Processing,87,0.7
map05164,Influenza A,Human Diseases,86,0.69
map04213,Longevity regulating pathway - multiple species,Organismal Systems,86,0.69
map04371,Apelin signaling pathway,Environmental Information Processing,85,0.68
map04611,Platelet activation,Organismal Systems,85,0.68
map04020,Calcium signaling pathway,Environmental Information Processing,85,0.68
map04066,HIF-1 signaling pathway,Environmental Information Processing,84,0.67
map04922,Glucagon signaling pathway,Organismal Systems,83,0.67
map05225,Hepatocellular carcinoma,Human Diseases,82,0.66
map04013,MAPK signaling pathway - fly,Environmental Information Processing,81,0.65
map05410,Hypertrophic cardiomyopathy,Human Diseases,81,0.65
map04068,FoxO signaling pathway,Environmental Information Processing,80,0.64
map05152,Tuberculosis,Human Diseases,80,0.64
map05167,Kaposi sarcoma-associated herpesvirus infection,Human Diseases,79,0.63
map04072,Phospholipase D signaling pathway,Environmental Information Processing,78,0.63
map05414,Dilated cardiomyopathy,Human Diseases,78,0.63
map04140,Autophagy - animal,Cellular Processes,78,0.63
map04211,Longevity regulating pathway,Organismal Systems,78,0.63
map04310,Wnt signaling pathway,Environmental Information Processing,78,0.63
map04621,NOD-like receptor signaling pathway,Organismal Systems,77,0.62
map04915,Estrogen signaling pathway,Organismal Systems,75,0.6
map04520,Adherens junction,Cellular Processes,74,0.59
map04723,Retrograde endocannabinoid signaling,Organismal Systems,74,0.59
map04390,Hippo signaling pathway,Environmental Information Processing,74,0.59
map04728,Dopaminergic synapse,Organismal Systems,74,0.59
map04218,Cellular senescence,Cellular Processes,73,0.59
map04214,Apoptosis - fly,Cellular Processes,72,0.58
map04270,Vascular smooth muscle contraction,Organismal Systems,72,0.58
map05215,Prostate cancer,Human Diseases,71,0.57
map04972,Pancreatic secretion,Organismal Systems,70,0.56
map04925,Aldosterone synthesis and secretion,Organismal Systems,70,0.56
map04146,Peroxisome,Cellular Processes,69,0.55
map04217,Necroptosis,Cellular Processes,69,0.55
map04071,Sphingolipid signaling pathway,Environmental Information Processing,67,0.54
map04210,Apoptosis,Cellular Processes,66,0.53
map05034,Alcoholism,Human Diseases,66,0.53
map00240,Pyrimidine metabolism,Metabolism,66,0.53
map04912,GnRH signaling pathway,Organismal Systems,65,0.52
map04934,Cushing syndrome,Human Diseases,65,0.52
map00564,Glycerophospholipid metabolism,Metabolism,65,0.52
map03018,RNA degradation,Genetic Information Processing,65,0.52
map04145,Phagosome,Cellular Processes,65,0.52
map05100,Bacterial invasion of epithelial cells,Human Diseases,64,0.51
map04970,Salivary secretion,Organismal Systems,63,0.51
map03015,mRNA surveillance pathway,Genetic Information Processing,63,0.51
map05161,Hepatitis B,Human Diseases,63,0.51
map04926,Relaxin signaling pathway,Organismal Systems,63,0.51
map05145,Toxoplasmosis,Human Diseases,61,0.49
map05146,Amoebiasis,Human Diseases,60,0.48
map04670,Leukocyte transendothelial migration,Organismal Systems,60,0.48
map00010,Glycolysis / Gluconeogenesis,Metabolism,60,0.48
map04260,Cardiac muscle contraction,Organismal Systems,60,0.48
map05134,Legionellosis,Human Diseases,59,0.47
map04911,Insulin secretion,Organismal Systems,59,0.47
map04137,Mitophagy - animal,Cellular Processes,59,0.47
map04114,Oocyte meiosis,Cellular Processes,59,0.47
map05211,Renal cell carcinoma,Human Diseases,59,0.47
map01524,Platinum drug resistance,Human Diseases,58,0.47
map05222,Small cell lung cancer,Human Diseases,58,0.47
map04976,Bile secretion,Organismal Systems,58,0.47
map04391,Hippo signaling pathway - fly,Environmental Information Processing,58,0.47
map03320,PPAR signaling pathway,Organismal Systems,57,0.46
map04725,Cholinergic synapse,Organismal Systems,56,0.45
