protein_id	gene_name	diamond_subject	diamond_pident	diamond_evalue	diamond_bitscore	diamond_taxids	diamond_sciname	source_organism	lineage	is_eukaryote	is_bacteria	is_fungi	is_virus	pfam_domains	pfam_evalue	eggnog_og	cog_category	eggnog_desc	cazy	go_terms	kegg_ko	kegg_pathway	diamond_title
TRINITY_DN0_c103_g1_i6.p1	XP_046400646.1 tropomyosin Per a 7.0102 isoform X1	XP_046400646.1	95.8	2.31e-42	157	197161	Ischnura elegans	Ischnura elegans	;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;Ischnura elegans	1	0	0	0	Tropomyosin(PF00261.26);CCDC39(PF24161.2);Laminin_II(PF06009.20)	3.4e-89	KOG1003@1|root,KOG1003@2759|Eukaryota,38BKJ@33154|Opisthokonta,3B9ZX@33208|Metazoa,3CREJ@33213|Bilateria,41UMI@6656|Arthropoda,3SJ76@50557|Insecta,44WZF@7147|Diptera,45EST@7148|Nematocera	Z	Belongs to the tropomyosin family		GO:0000003,GO:0000578,GO:0000902,GO:0000904,GO:0003002,GO:0003006,GO:0003008,GO:0003012,GO:0003674,GO:0003779,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005862,GO:0005865,GO:0005884,GO:0006403,GO:0006936,GO:0006950,GO:0006996,GO:0007010,GO:0007015,GO:0007028,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007308,GO:0007309,GO:0007314,GO:0007315,GO:0007316,GO:0007350,GO:0007351,GO:0007389,GO:0007399,GO:0007610,GO:0007617,GO:0007618,GO:0008064,GO:0008092,GO:0008150,GO:0008298,GO:0008307,GO:0008358,GO:0008595,GO:0009628,GO:0009653,GO:0009790,GO:0009792,GO:0009798,GO:0009880,GO:0009948,GO:0009952,GO:0009987,GO:0009994,GO:0010591,GO:0010639,GO:0015629,GO:0016043,GO:0016358,GO:0019094,GO:0019098,GO:0019894,GO:0019899,GO:0019900,GO:0019901,GO:0019953,GO:0021700,GO:0022008,GO:0022412,GO:0022414,GO:0022607,GO:0030016,GO:0030017,GO:0030029,GO:0030030,GO:0030036,GO:0030038,GO:0030154,GO:0030182,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0031032,GO:0031175,GO:0031344,GO:0032271,GO:0032501,GO:0032502,GO:0032504,GO:0032535,GO:0032956,GO:0032970,GO:0032989,GO:0032990,GO:0032991,GO:0033036,GO:0033043,GO:0034609,GO:0035282,GO:0035770,GO:0036296,GO:0036379,GO:0036464,GO:0040011,GO:0043149,GO:0043186,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043242,GO:0043244,GO:0043254,GO:0043292,GO:0043393,GO:0044085,GO:0044087,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0044703,GO:0044877,GO:0045451,GO:0045495,GO:0048468,GO:0048469,GO:0048477,GO:0048519,GO:0048523,GO:0048599,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048813,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051015,GO:0051017,GO:0051098,GO:0051128,GO:0051129,GO:0051179,GO:0051493,GO:0051494,GO:0051641,GO:0051704,GO:0055093,GO:0060179,GO:0060293,GO:0060491,GO:0060810,GO:0060811,GO:0061572,GO:0065007,GO:0065008,GO:0065009,GO:0070482,GO:0070727,GO:0070864,GO:0070865,GO:0071840,GO:0090066,GO:0097435,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0110053,GO:0120032,GO:0120035,GO:0120036,GO:0120039,GO:1901879,GO:1901880,GO:1902743,GO:1902903,GO:1902904,GO:1990904	ko:K09290,ko:K10373	ko04260,ko04261,ko05200,ko05206,ko05216,ko05410,ko05414,map04260,map04261,map05200,map05206,map05216,map05410,map05414	XP_046400646.1 tropomyosin Per a 7.0102 isoform X11 [Ischnura elegans]
TRINITY_DN0_c12_g1_i2.p1	KAJ4448032.1 hypothetical protein ANN_10044 [Perip	KAJ4448032.1	53.9	5.71e-145	445	6978	Periplaneta americana	Periplaneta americana	;Arthropoda;Insecta;Blattodea;Blattidae;Periplaneta;Periplaneta americana	1	0	0	0	RVT_1(PF00078.33);HTH_animal(PF26215.1)	1.4e-13	2CN36@1|root,2QTNN@2759|Eukaryota,38FJC@33154|Opisthokonta,3BM27@33208|Metazoa,3D0HQ@33213|Bilateria							KAJ4448032.1 hypothetical protein ANN_10044 [Periplaneta americana]
TRINITY_DN0_c2_g1_i10.p1										0	0	0	0										
TRINITY_DN0_c2_g1_i2.p1	XP_054290772.1 uncharacterized protein LOC12900578	XP_054290772.1	66.9	0.0	910	74068	Macrosteles quadrilineatus	Macrosteles quadrilineatus	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Macrosteles;Macrosteles quadrilineatus	1	0	0	0	DUF8422(PF28514.1);HTH_animal(PF26215.1);RVT_1(PF00078.33)	1.8e-43	2CYQC@1|root,2S5N3@2759|Eukaryota,3A64I@33154|Opisthokonta,3BSSI@33208|Metazoa,3D9P4@33213|Bilateria,48GDK@7711|Chordata,49D51@7742|Vertebrata							XP_054290772.1 uncharacterized protein LOC129005789 [Macrosteles quadrilineatus]
TRINITY_DN0_c2_g2_i1.p1	XP_054290772.1 uncharacterized protein LOC12900578	XP_054290772.1	65.2	1.19e-240	686	74068	Macrosteles quadrilineatus	Macrosteles quadrilineatus	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Macrosteles;Macrosteles quadrilineatus	1	0	0	0	HTH_animal(PF26215.1);RVT_1(PF00078.33)	1e-16	29YJV@1|root,2RXU5@2759|Eukaryota,3A0FB@33154|Opisthokonta,3BPYT@33208|Metazoa,3D6GB@33213|Bilateria							XP_054290772.1 uncharacterized protein LOC129005789 [Macrosteles quadrilineatus]
TRINITY_DN0_c32_g1_i2.p1										0	0	0	0	zf-C2H2(PF00096.33);zf-C2H2_4(PF13894.13);zf-H2C2_2(PF13465.13)	1.1e-13	KOG1721@1|root,KOG1721@2759|Eukaryota,3AKZ4@33154|Opisthokonta,3C0KF@33208|Metazoa,3DGM6@33213|Bilateria,422JF@6656|Arthropoda,3SQHT@50557|Insecta,44YZW@7147|Diptera,45JNG@7148|Nematocera	S	Zinc-finger associated domain (zf-AD)		GO:0000976,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:1990837,GO:2000112,GO:2001141			
TRINITY_DN0_c49_g2_i1.p1	XP_046665816.1 zinc finger protein 841-like [Homal	XP_046665816.1	41.1	1.40e-52	185	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0			28PAK@1|root,2QVXX@2759|Eukaryota,39Z25@33154|Opisthokonta,3BNRK@33208|Metazoa,3D308@33213|Bilateria,41VFD@6656|Arthropoda,3SQIM@50557|Insecta	S	nucleic acid binding					XP_046665816.1 zinc finger protein 841-like [Homalodisca vitripennis]
TRINITY_DN0_c4_g1_i11.p1	XP_046399905.1 piggyBac transposable element-deriv	XP_046399905.1	75.8	2.25e-269	756	197161	Ischnura elegans	Ischnura elegans	;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;Ischnura elegans	1	0	0	0	DDE_Tnp_1_7(PF13843.13);zf-Tnp_2(PF13842.13)	1.9e-81	28PUT@1|root,2QWHD@2759|Eukaryota,38EA4@33154|Opisthokonta,3BMU4@33208|Metazoa,3CZSB@33213|Bilateria	S	Transposase IS4					XP_046399905.1 piggyBac transposable element-derived protein 4-like [Ischnura elegans]
TRINITY_DN0_c7_g1_i1.p1	KAJ4443694.1 hypothetical protein ANN_05369 [Perip	KAJ4443694.1	40.9	1.12e-23	108	6978	Periplaneta americana	Periplaneta americana	;Arthropoda;Insecta;Blattodea;Blattidae;Periplaneta;Periplaneta americana	1	0	0	0			KOG1075@1|root,KOG1075@2759|Eukaryota,39MZC@33154|Opisthokonta,3CPIM@33208|Metazoa,3E5PH@33213|Bilateria	S	Ribonuclease H protein					KAJ4443694.1 hypothetical protein ANN_05369 [Periplaneta americana]
TRINITY_DN0_c7_g1_i11.p1										0	0	0	0										
TRINITY_DN10002_c0_g1_i4.p1	XP_046682226.1 haloacid dehalogenase-like hydrolas	XP_046682226.1	64.5	1.39e-179	516	197043	Homalodisca vitripennis	Homalodisca vitripennis	;Arthropoda;Insecta;Hemiptera;Cicadellidae;Homalodisca;Homalodisca vitripennis	1	0	0	0	Hydrolase_6(PF13344.13);Hydrolase_like(PF13242.13)	6.4e-19	COG0647@1|root,KOG1618@2759|Eukaryota,39SVY@33154|Opisthokonta,3BBPX@33208|Metazoa,3D0ZY@33213|Bilateria,41WRI@6656|Arthropoda,3SQFH@50557|Insecta	G	Haloacid dehalogenase-like hydrolase		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0019637,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045017,GO:0046474,GO:0046486,GO:0071704,GO:0090407,GO:1901576			XP_046682226.1 haloacid dehalogenase-like hydrolase domain-containing 5 [Homalodisca vitripennis]
