protein_id	transcript_id	tpm	n_curated_matches	curated_terms	sp_prob	tm_count	gene_name	diamond_subject	diamond_sciname	diamond_pident	pfam_domains	eggnog_desc	cazy	go_terms
TRINITY_DN343_c0_g1_i4.p1	TRINITY_DN343_c0_g1_i4	52.3129	1	salivary_secreted	1.0	0	ABR27826.1 salivary secreted protein [Triatoma inf	ABR27826.1	Triatoma infestans	35.9	Reeler(PF02014.24)	negative regulation of growth rate		
TRINITY_DN343_c0_g1_i1.p1	TRINITY_DN343_c0_g1_i1	8.1988	1	salivary_secreted	1.0	0	ABR27826.1 salivary secreted protein [Triatoma inf	ABR27826.1	Triatoma infestans	34.1	Reeler(PF02014.24)	negative regulation of growth rate		
TRINITY_DN10732_c0_g1_i14.p1	TRINITY_DN10732_c0_g1_i14	6.9249	1	venom_protease	1.0	0	XP_054259673.1 venom protease-like isoform X2 [Mac	XP_054259673.1	Macrosteles quadrilineatus	53.0	Trypsin(PF00089.33);CLIP(PF12032.14)	Belongs to the peptidase S1 family		GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901564
TRINITY_DN33476_c0_g1_i9.p1	TRINITY_DN33476_c0_g1_i9	5.8447	1	mucin	1.0	1					MGC-24(PF05283.17)	Multi-glycosylated core protein 24 (MGC-24), sialomucin		GO:0000003,GO:0000323,GO:0002376,GO:0002520,GO:0003008,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005768,GO:0005773,GO:0005886,GO:0005887,GO:0006955,GO:0007154,GO:0007155,GO:0007157,GO:0007162,GO:0007165,GO:0007275,GO:0007610,GO:0007611,GO:0007613,GO:0007616,GO:0008150,GO:0008285,GO:0009636,GO:0009987,GO:0010033,GO:0012505,GO:0016020,GO:0016021,GO:0022610,GO:0023052,GO:0030097,GO:0030155,GO:0030534,GO:0031224,GO:0031226,GO:0031410,GO:0031982,GO:0032501,GO:0032502,GO:0032504,GO:0035324,GO:0042127,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044421,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045171,GO:0045172,GO:0045471,GO:0046677,GO:0048149,GO:0048513,GO:0048519,GO:0048523,GO:0048534,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050877,GO:0050890,GO:0050896,GO:0051716,GO:0065007,GO:0071944,GO:0097305,GO:0097708,GO:0098549,GO:0098609,GO:0098742,GO:1901700
TRINITY_DN7976_c1_g1_i1.p1	TRINITY_DN7976_c1_g1_i1	5.4061	1	mucin	1.0	0	XP_054282971.1 mucin-7-like [Macrosteles quadrilin	XP_054282971.1	Macrosteles quadrilineatus	46.6	CBM39(PF15886.12)	Hydrolase activity, hydrolyzing O-glycosyl compounds. It is involved in the biological process described with carbohydrate metabolic process	CBM39(26-119);CBM39_e10(26-119)	GO:0001530,GO:0001871,GO:0001872,GO:0002218,GO:0002220,GO:0002221,GO:0002238,GO:0002252,GO:0002253,GO:0002376,GO:0002429,GO:0002682,GO:0002684,GO:0002752,GO:0002757,GO:0002758,GO:0002764,GO:0002768,GO:0003674,GO:0005488,GO:0005575,GO:0005576,GO:0005623,GO:0006950,GO:0006952,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0008289,GO:0008329,GO:0009593,GO:0009595,GO:0009605,GO:0009607,GO:0009615,GO:0009620,GO:0009986,GO:0009987,GO:0010033,GO:0023052,GO:0030246,GO:0030247,GO:0031347,GO:0031349,GO:0032491,GO:0038023,GO:0038187,GO:0042221,GO:0043207,GO:0044464,GO:0045088,GO:0045089,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050896,GO:0051606,GO:0051607,GO:0051704,GO:0051707,GO:0051716,GO:0060089,GO:0065007,GO:0080134,GO:0097367,GO:0098542,GO:0098581
TRINITY_DN5822_c1_g1_i3.p1	TRINITY_DN5822_c1_g1_i3	4.9255	1	ef_hand_ca_binding	1.0	0	XP_054276185.1 uncharacterized protein LOC12899525	XP_054276185.1	Macrosteles quadrilineatus	80.1	FKBP_C(PF00254.35);EF-hand_1(PF00036.39);EF-hand_7(PF13499.13);EF-hand_6(PF13405.13);EF-hand_8(PF13833.13)	FKBP-type peptidyl-prolyl cis-trans isomerase		GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005527,GO:0005528,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0006457,GO:0006464,GO:0006807,GO:0006950,GO:0006986,GO:0007154,GO:0007165,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0010033,GO:0012505,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0023052,GO:0030968,GO:0031974,GO:0033554,GO:0034620,GO:0034976,GO:0035966,GO:0035967,GO:0036211,GO:0036498,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0061077,GO:0065007,GO:0070013,GO:0070887,GO:0071310,GO:0071704,GO:0097159,GO:0140096,GO:1901363,GO:1901564
TRINITY_DN6789_c0_g1_i3.p1	TRINITY_DN6789_c0_g1_i3	4.5547	1	ef_hand_ca_binding	1.0	0	XP_054260746.1 proteoglycan Cow isoform X2 [Macros	XP_054260746.1	Macrosteles quadrilineatus	79.0	SPARC_Ca_bdg(PF10591.16);Thyroglobulin_1(PF00086.24);Kazal_2(PF07648.21);EF-hand_1(PF00036.39)	Thyroglobulin type-1 repeat		GO:0003002,GO:0003674,GO:0004857,GO:0004866,GO:0005488,GO:0005515,GO:0005539,GO:0005575,GO:0005576,GO:0005615,GO:0006022,GO:0006029,GO:0006082,GO:0006464,GO:0006790,GO:0006807,GO:0006810,GO:0006858,GO:0007275,GO:0007350,GO:0007365,GO:0007367,GO:0007389,GO:0007444,GO:0007447,GO:0007450,GO:0008104,GO:0008150,GO:0008152,GO:0008191,GO:0009100,GO:0009790,GO:0009880,GO:0009888,GO:0009892,GO:0009953,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010466,GO:0010605,GO:0010646,GO:0010647,GO:0010648,GO:0010951,GO:0017147,GO:0018149,GO:0018193,GO:0018209,GO:0019222,GO:0019538,GO:0019800,GO:0023051,GO:0023056,GO:0023057,GO:0030111,GO:0030162,GO:0030177,GO:0030178,GO:0030203,GO:0030204,GO:0030234,GO:0030414,GO:0031012,GO:0031323,GO:0031324,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032879,GO:0033036,GO:0035220,GO:0035222,GO:0035282,GO:0035295,GO:0035592,GO:0036211,GO:0040012,GO:0040013,GO:0043086,GO:0043170,GO:0043412,GO:0043436,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044281,GO:0044421,GO:0045184,GO:0045861,GO:0048190,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048731,GO:0048856,GO:0050654,GO:0050789,GO:0050790,GO:0050794,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051246,GO:0051248,GO:0051270,GO:0051271,GO:0051336,GO:0051346,GO:0052547,GO:0052548,GO:0060255,GO:0060429,GO:0060828,GO:0061134,GO:0061135,GO:0065007,GO:0065009,GO:0071692,GO:0071704,GO:0080090,GO:0090090,GO:0090263,GO:0097367,GO:0098772,GO:1901135,GO:1901564,GO:1903510,GO:2000145,GO:2000146
TRINITY_DN245402_c0_g1_i1.p2	TRINITY_DN245402_c0_g1_i1	3.3615	1	ef_hand_ca_binding	1.0	0	WP_049437070.1 MULTISPECIES: EF-hand domain-contai	WP_049437070.1	Stenotrophomonas	100	EF-hand_5(PF13202.13);EF-hand_1(PF00036.39);EF-hand_6(PF13405.13);EF-hand_7(PF13499.13)	EF hand		
TRINITY_DN13831_c0_g1_i21.p1	TRINITY_DN13831_c0_g1_i21	3.2407	1	ef_hand_ca_binding	1.0	0	XP_039285876.1 nucleobindin-2 isoform X2 [Nilaparv	XP_039285876.1	Nilaparvata lugens	67.4	NUCB1_N(PF25434.1);EF-hand_7(PF13499.13);EF-hand_6(PF13405.13);EF-hand_5(PF13202.13);EF-hand_1(PF00036.39)	Calcium ion binding		GO:0000139,GO:0001965,GO:0002791,GO:0002792,GO:0003674,GO:0003676,GO:0003677,GO:0005102,GO:0005126,GO:0005164,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005640,GO:0005737,GO:0005768,GO:0005769,GO:0005783,GO:0005788,GO:0005791,GO:0005793,GO:0005794,GO:0005795,GO:0005797,GO:0005798,GO:0005801,GO:0005802,GO:0005829,GO:0005886,GO:0006464,GO:0006807,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009617,GO:0009636,GO:0009719,GO:0009725,GO:0009743,GO:0009746,GO:0009749,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010565,GO:0010646,GO:0010647,GO:0010648,GO:0010817,GO:0012505,GO:0016020,GO:0019216,GO:0019217,GO:0019222,GO:0019538,GO:0019725,GO:0019867,GO:0019898,GO:0023051,GO:0023056,GO:0023057,GO:0030003,GO:0031090,GO:0031312,GO:0031323,GO:0031325,GO:0031410,GO:0031667,GO:0031965,GO:0031967,GO:0031968,GO:0031974,GO:0031975,GO:0031982,GO:0031984,GO:0031985,GO:0032095,GO:0032096,GO:0032098,GO:0032099,GO:0032101,GO:0032102,GO:0032104,GO:0032105,GO:0032107,GO:0032108,GO:0032368,GO:0032370,GO:0032386,GO:0032580,GO:0032813,GO:0032879,GO:0032880,GO:0033157,GO:0034284,GO:0034698,GO:0036211,GO:0042175,GO:0042221,GO:0042493,GO:0042592,GO:0042594,GO:0042742,GO:0043167,GO:0043169,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043434,GO:0043687,GO:0043949,GO:0043951,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044431,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044752,GO:0045595,GO:0045596,GO:0045598,GO:0045599,GO:0045834,GO:0045923,GO:0046320,GO:0046321,GO:0046626,GO:0046627,GO:0046872,GO:0046883,GO:0046887,GO:0046888,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048878,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050829,GO:0050896,GO:0051046,GO:0051047,GO:0051048,GO:0051049,GO:0051050,GO:0051051,GO:0051093,GO:0051223,GO:0051704,GO:0051707,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0060341,GO:0062012,GO:0062013,GO:0065007,GO:0065008,GO:0070013,GO:0070092,GO:0070093,GO:0070201,GO:0071704,GO:0071944,GO:0072503,GO:0072507,GO:0072718,GO:0080090,GO:0090087,GO:0090276,GO:0090278,GO:0090498,GO:0097159,GO:0097327,GO:0097708,GO:0098542,GO:0098547,GO:0098552,GO:0098576,GO:0098588,GO:0098771,GO:0098791,GO:0098805,GO:1900076,GO:1900077,GO:1901142,GO:1901363,GO:1901564,GO:1901652,GO:1901698,GO:1901700,GO:1902531,GO:1902532,GO:1903530,GO:1903531,GO:1903532,GO:1903533,GO:1903827,GO:1905952,GO:1905954,GO:1990680,GO:2000843,GO:2000845
TRINITY_DN173025_c0_g1_i8.p1	TRINITY_DN173025_c0_g1_i8	2.8585	1	ef_hand_ca_binding	1.0	0	KAG8314285.1 calcium ion binding [Homalodisca vitr	KAG8314285.1	Homalodisca vitripennis	80.2	EF-hand_7(PF13499.13);EF-hand_1(PF00036.39);EF-hand_5(PF13202.13);EF-hand_6(PF13405.13);EF-hand_8(PF13833.13)	EF-hand domain pair		GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005783,GO:0005788,GO:0006996,GO:0007030,GO:0008150,GO:0009987,GO:0010256,GO:0012505,GO:0016043,GO:0031974,GO:0031981,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0070013,GO:0071840
