protein_id	is_secreted	has_sp	sp_prob	cs_pos	signalp_pred	tm_count	topology	diamond_subject	gene_name	diamond_pident	diamond_evalue	source_organism	eggnog_desc	go_terms	kegg_ko	kegg_pathway	cog_category	pfam_domains
TRINITY_DN31108_c0_g1_i19.p1	True	True	0.99	25	SP(Sec/SPI)	0												
TRINITY_DN1408_c1_g1_i5.p2	False	False	0.0		OTHER	0		CAG9568337.1	CAG9568337.1 unnamed protein product [Danaus chrys	61.7	4.60e-75	Danaus chrysippus	Tigger transposable element-derived protein 1-like				BD	HTH_Tnp_Tc5(PF03221.23)
TRINITY_DN5494_c0_g2_i6.p1	False	False	0.0		OTHER	0							Domain of unknown function (DUF4805)				S	DUF4805(PF16063.11)
TRINITY_DN997_c0_g1_i6.p1	False	False	0.03		OTHER	0												
TRINITY_DN6457_c2_g1_i1.p1	False	False	0.0		OTHER	0		XP_046658943.1	XP_046658943.1 G protein pathway suppressor 2-like	72.1	1.64e-85	Homalodisca vitripennis	G-protein pathway suppressor	GO:0000122,GO:0000165,GO:0000188,GO:0001775,GO:0001932,GO:0001933,GO:0001959,GO:0001960,GO:0002376,GO:0002520,GO:0002521,GO:0002682,GO:0002683,GO:0003674,GO:0003712,GO:0003713,GO:0003714,GO:0004857,GO:0005095,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005829,GO:0006355,GO:0006357,GO:0006464,GO:0006468,GO:0006469,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007154,GO:0007165,GO:0007254,GO:0007275,GO:0008150,GO:0008152,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010563,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010646,GO:0010647,GO:0010648,GO:0010803,GO:0010804,GO:0010874,GO:0010875,GO:0016310,GO:0017053,GO:0019216,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0023014,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030097,GO:0030098,GO:0030154,GO:0030183,GO:0030234,GO:0030332,GO:0030695,GO:0031098,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031347,GO:0031348,GO:0031396,GO:0031397,GO:0031399,GO:0031400,GO:0031974,GO:0031981,GO:0032101,GO:0032102,GO:0032268,GO:0032269,GO:0032368,GO:0032370,GO:0032371,GO:0032373,GO:0032374,GO:0032376,GO:0032501,GO:0032502,GO:0032872,GO:0032873,GO:0032879,GO:0032991,GO:0033554,GO:0033673,GO:0034121,GO:0034122,GO:0034260,GO:0035358,GO:0035360,GO:0035556,GO:0036211,GO:0042113,GO:0042325,GO:0042326,GO:0043086,GO:0043087,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043412,GO:0043549,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045088,GO:0045321,GO:0045595,GO:0045596,GO:0045598,GO:0045599,GO:0045859,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045936,GO:0045944,GO:0046328,GO:0046329,GO:0046649,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048583,GO:0048584,GO:0048585,GO:0048731,GO:0048856,GO:0048869,GO:0050727,GO:0050728,GO:0050776,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050854,GO:0050855,GO:0050858,GO:0050859,GO:0050896,GO:0051049,GO:0051050,GO:0051093,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051246,GO:0051248,GO:0051252,GO:0051253,GO:0051254,GO:0051336,GO:0051338,GO:0051346,GO:0051348,GO:0051403,GO:0051716,GO:0060255,GO:0060589,GO:0060759,GO:0060761,GO:0065007,GO:0065009,GO:0070013,GO:0070302,GO:0070303,GO:0071704,GO:0071900,GO:0071901,GO:0080090,GO:0080134,GO:0080135,GO:0098772,GO:0098780,GO:0140110,GO:1900044,GO:1900045,GO:1901564,GO:1902531,GO:1902532,GO:1902679,GO:1902680,GO:1902914,GO:1902915,GO:1903320,GO:1903321,GO:1903506,GO:1903507,GO:1903508,GO:1905952,GO:1905954,GO:2000112,GO:2000113,GO:2001141	ko:K15307	ko05166,map05166	S	G_path_suppress(PF15991.11)
TRINITY_DN5170_c0_g1_i7.p1	False	False	0.0		OTHER	0												
TRINITY_DN7288_c1_g1_i2.p1	False	False	0.0		OTHER	0		XP_046680509.1	XP_046680509.1 LOW QUALITY PROTEIN: guanine nucleo	92.7	1.06e-252	Homalodisca vitripennis	G protein alpha subunit	GO:0000902,GO:0000904,GO:0001664,GO:0001667,GO:0001703,GO:0002009,GO:0002064,GO:0002225,GO:0002682,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002759,GO:0002760,GO:0002784,GO:0002831,GO:0002833,GO:0002920,GO:0002922,GO:0003365,GO:0003371,GO:0003379,GO:0003380,GO:0003381,GO:0003382,GO:0003383,GO:0003384,GO:0003674,GO:0003824,GO:0003924,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005834,GO:0005886,GO:0005903,GO:0006355,GO:0006357,GO:0006928,GO:0006950,GO:0006952,GO:0006996,GO:0007010,GO:0007154,GO:0007163,GO:0007165,GO:0007186,GO:0007187,GO:0007188,GO:0007264,GO:0007265,GO:0007266,GO:0007275,GO:0007369,GO:0007398,GO:0007498,GO:0008150,GO:0008360,GO:0009605,GO:0009607,GO:0009620,GO:0009653,GO:0009790,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009898,GO:0009987,GO:0010004,GO:0010468,GO:0010470,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016020,GO:0016043,GO:0016462,GO:0016476,GO:0016477,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019219,GO:0019222,GO:0019897,GO:0019898,GO:0022603,GO:0022604,GO:0023052,GO:0030010,GO:0030029,GO:0030048,GO:0030154,GO:0030855,GO:0030952,GO:0031234,GO:0031253,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031526,GO:0031683,GO:0031752,GO:0032101,GO:0032103,GO:0032501,GO:0032502,GO:0032956,GO:0032970,GO:0032989,GO:0032991,GO:0033043,GO:0035556,GO:0040011,GO:0042074,GO:0042995,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043519,GO:0043900,GO:0043902,GO:0044424,GO:0044425,GO:0044459,GO:0044463,GO:0044464,GO:0044877,GO:0045893,GO:0045935,GO:0045944,GO:0045995,GO:0048383,GO:0048468,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048598,GO:0048729,GO:0048856,GO:0048869,GO:0048870,GO:0050776,GO:0050778,GO:0050780,GO:0050789,GO:0050793,GO:0050794,GO:0050832,GO:0050896,GO:0051128,GO:0051171,GO:0051173,GO:0051179,GO:0051239,GO:0051252,GO:0051254,GO:0051493,GO:0051674,GO:0051704,GO:0051707,GO:0051716,GO:0060026,GO:0060027,GO:0060255,GO:0060429,GO:0065007,GO:0065008,GO:0070252,GO:0071840,GO:0071944,GO:0080090,GO:0098542,GO:0098552,GO:0098562,GO:0098590,GO:0098796,GO:0098797,GO:0098862,GO:0120025,GO:0120038,GO:1901244,GO:1902494,GO:1902680,GO:1903506,GO:1903508,GO:1905360,GO:2000026,GO:2000112,GO:2001141	ko:K04346,ko:K04639	ko04010,ko04022,ko04071,ko04072,ko04270,ko04371,ko04611,ko04730,ko04810,ko05200,map04010,map04022,map04071,map04072,map04270,map04371,map04611,map04730,map04810,map05200	DT	G-alpha(PF00503.27);Arf(PF00025.28)
TRINITY_DN21532_c4_g1_i2.p1	False	False	0.0		OTHER	0												
TRINITY_DN104702_c0_g1_i10.p1	False	False	0.21		OTHER	1	H	XP_049767604.1	XP_049767604.1 uncharacterized protein LOC12610098	59.5	2.21e-59	Schistocerca cancellata	NADH:ubiquinone oxidoreductase, NDUFB6/B17 subunit		ko:K03962	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016	C	NDUF_B6(PF09782.15)
TRINITY_DN594_c1_g2_i8.p1	False	False	0.02		OTHER	6	H,h,H,h,H,h	XP_046665272.1	XP_046665272.1 zinc/cadmium resistance protein [Ho	85.5	5.33e-260	Homalodisca vitripennis	Cation transmembrane transporter activity. It is involved in the biological process described with transmembrane transport	GO:0000041,GO:0001505,GO:0001701,GO:0003674,GO:0005215,GO:0005246,GO:0005385,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005783,GO:0005794,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006829,GO:0006873,GO:0006874,GO:0006875,GO:0006882,GO:0006950,GO:0007275,GO:0008150,GO:0008200,GO:0008324,GO:0009636,GO:0009790,GO:0009792,GO:0009966,GO:0009967,GO:0009987,GO:0010035,GO:0010038,GO:0010043,GO:0010312,GO:0010646,GO:0010647,GO:0010648,GO:0010959,GO:0012505,GO:0015075,GO:0015318,GO:0015562,GO:0015691,GO:0016020,GO:0016021,GO:0016247,GO:0016248,GO:0016323,GO:0016324,GO:0019725,GO:0019855,GO:0019899,GO:0019900,GO:0019901,GO:0022857,GO:0022883,GO:0022890,GO:0023051,GO:0023056,GO:0023057,GO:0030001,GO:0030003,GO:0030315,GO:0031090,GO:0031224,GO:0031965,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0032879,GO:0034220,GO:0034762,GO:0034763,GO:0034765,GO:0034766,GO:0040026,GO:0040028,GO:0042221,GO:0042383,GO:0042592,GO:0043009,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043269,GO:0043271,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045177,GO:0046578,GO:0046579,GO:0046583,GO:0046686,GO:0046873,GO:0046915,GO:0046916,GO:0046928,GO:0046929,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048580,GO:0048582,GO:0048583,GO:0048584,GO:0048856,GO:0048878,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050804,GO:0050805,GO:0050896,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0051056,GO:0051057,GO:0051094,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051588,GO:0051589,GO:0051716,GO:0051924,GO:0051926,GO:0055065,GO:0055069,GO:0055074,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0060341,GO:0061062,GO:0061063,GO:0061088,GO:0061687,GO:0065007,GO:0065008,GO:0065009,GO:0070509,GO:0070574,GO:0070838,GO:0070887,GO:0071241,GO:0071248,GO:0071294,GO:0071577,GO:0071579,GO:0071580,GO:0071581,GO:0071582,GO:0071583,GO:0071584,GO:0071585,GO:0071944,GO:0072503,GO:0072507,GO:0072509,GO:0072511,GO:0090279,GO:0090281,GO:0097501,GO:0098590,GO:0098655,GO:0098660,GO:0098662,GO:0098754,GO:0098771,GO:0098772,GO:0099106,GO:0099177,GO:1902531,GO:1902533,GO:1903530,GO:1903531,GO:1904062,GO:1904063,GO:1990170,GO:1990359,GO:2000026	ko:K14688	ko04978,map04978	P	Cation_efflux(PF01545.27);ZT_dimer(PF16916.12)
