symbiont_candidate	protein_id	transcript_id	TPM	diamond_subject	diamond_pident	diamond_evalue	source_organism	pfam_domains	diamond_title
Sodalis	TRINITY_DN19550_c0_g1_i5.p1	TRINITY_DN19550_c0_g1_i5	2.355513	OZI14249.1	55.8	5.55e-23	Sodalis-like symbiont of Philaenus spumarius		OZI14249.1 hypothetical protein CE195_09980 [Sodalis-like symbiont of Philaenus spumarius]
Sulcia	TRINITY_DN35032_c0_g1_i1.p2	TRINITY_DN35032_c0_g1_i1	5.747232	ADM90072.1	99.1	1.19e-225	Candidatus Karelsulcia muelleri CARI	PFK(PF00365.26)	ADM90072.1 6-phosphofructokinase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN35032_c0_g1_i1.p1	TRINITY_DN35032_c0_g1_i1	5.747232	ADM90073.1	99.4	6.98e-236	Candidatus Karelsulcia muelleri CARI	Gp_dh_C(PF02800.26);Gp_dh_N(PF00044.31)	ADM90073.1 glyceraldehyde 3-phosphate dehydrogenase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN255275_c0_g1_i1.p1	TRINITY_DN255275_c0_g1_i1	3.393038	ADM90014.1	98.5	1.18e-274	Candidatus Karelsulcia muelleri CARI	GTP_EFTU(PF00009.34);EF-G_D2(PF22042.3);MMR_HSR1(PF01926.30);IF-2(PF11987.14);IF2_N(PF04760.22);FeoB_N(PF02421.25)	ADM90014.1 translation initiation factor IF-2 [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN1678_c0_g1_i1.p1	TRINITY_DN1678_c0_g1_i1	3.362322	ADM89969.1	98.8	2.21e-298	Candidatus Karelsulcia muelleri CARI	malic(PF00390.25);Malic_M(PF03949.22)	ADM89969.1 putative NAD(P)-dependent malic enzyme [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN26541_c0_g1_i1.p1	TRINITY_DN26541_c0_g1_i1	3.258141	ADM90008.1	99.4	0.0	Candidatus Karelsulcia muelleri CARI	Cpn60_TCP1(PF00118.30)	ADM90008.1 60 kDa chaperonin GroEL [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN20964_c0_g1_i1.p2	TRINITY_DN20964_c0_g1_i1	2.924935	ADM90077.1	93.9	4.12e-222	Candidatus Karelsulcia muelleri CARI	tRNA-synt_2d(PF01409.26);Phe_tRNA-synt_N(PF02912.24)	ADM90077.1 phenylalanyl-tRNA synthetase alpha subunit [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN20964_c0_g1_i1.p4	TRINITY_DN20964_c0_g1_i1	2.924935	ADM90076.1	96.5	1.26e-111	Candidatus Karelsulcia muelleri CARI	SpoU_methylase(PF00588.25)	ADM90076.1 putative trmH/spoU family tRNA/rRNA methyltransferase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN20964_c0_g1_i1.p1	TRINITY_DN20964_c0_g1_i1	2.924935	ADM90079.1	98.5	2.28e-244	Candidatus Karelsulcia muelleri CARI	KARI_N(PF07991.19);KARI_C(PF01450.26)	ADM90079.1 ketol-acid reductoisomerase [Candidatus Karelsulcia muelleri CARI]
Sulcia	TRINITY_DN20964_c0_g1_i1.p3	TRINITY_DN20964_c0_g1_i1	2.924935	ADM90078.1	98.7	1.39e-225	Candidatus Karelsulcia muelleri CARI	PALP(PF00291.32);Thr_dehydrat_C(PF00585.25)	ADM90078.1 threonine dehydratase [Candidatus Karelsulcia muelleri CARI]
