protein_id	is_secreted	has_sp	sp_prob	cs_pos	signalp_pred	tm_count	topology	diamond_subject	gene_name	diamond_pident	diamond_evalue	source_organism	eggnog_desc	go_terms	kegg_ko	kegg_pathway	cog_category	pfam_domains
TRINITY_DN31108_c0_g1_i19.p1	True	True	0.99	25	SP(Sec/SPI)	0												
TRINITY_DN10159_c0_g1_i9.p1	True	True	1.0	34	SP(Sec/SPI)	0		XP_025423120.1	XP_025423120.1 inactive pancreatic lipase-related 	45.6	2.50e-110	Sipha flava	Lipase				G	Lipase(PF00151.26)
TRINITY_DN557_c0_g1_i6.p1	True	True	1.0	35	SP(Sec/SPI)	1	h	XP_046672640.1	XP_046672640.1 neural proliferation differentiatio	47.1	1.12e-76	Homalodisca vitripennis	Neural proliferation differentiation control-1 protein (NPDC1)	GO:0002682,GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0044464,GO:0048583,GO:0050776,GO:0050789,GO:0065007,GO:0071944			T	NPDC1(PF06809.16)
TRINITY_DN26600_c0_g1_i1.p1	True	True	1.0	24	SP(Sec/SPI)	0		XP_015512328.1	XP_015512328.1 cuticle protein 16.5 [Neodiprion le	50.7	7.34e-06	Neodiprion lecontei						
TRINITY_DN119684_c0_g1_i1.p1	True	True	1.0	21	SP(Sec/SPI)	0		XP_046668433.1	XP_046668433.1 circadian clock-controlled protein 	60.5	2.66e-57	Homalodisca vitripennis	Juvenile hormone binding protein domains in insects.				S	JHBP(PF06585.18)
TRINITY_DN7954_c0_g1_i13.p1	True	True	1.0	26	SP(Sec/SPI)	0		XP_054290361.1	XP_054290361.1 apolipophorins-like [Macrosteles qu	43.9	0.0	Macrosteles quadrilineatus	Domain of Unknown Function (DUF1081)	GO:0003674,GO:0005102,GO:0005215,GO:0005319,GO:0005488,GO:0005501,GO:0005504,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0006810,GO:0006869,GO:0008017,GO:0008092,GO:0008150,GO:0008289,GO:0008589,GO:0009966,GO:0009967,GO:0010646,GO:0010647,GO:0010876,GO:0015631,GO:0019840,GO:0019841,GO:0019842,GO:0020037,GO:0023051,GO:0023056,GO:0030111,GO:0030139,GO:0030177,GO:0031406,GO:0031410,GO:0031982,GO:0033036,GO:0033293,GO:0036094,GO:0043167,GO:0043168,GO:0043177,GO:0043178,GO:0043226,GO:0043227,GO:0043229,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0045178,GO:0045880,GO:0046906,GO:0048037,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0051179,GO:0051234,GO:0060828,GO:0065007,GO:0071702,GO:0090263,GO:0097159,GO:0097708,GO:1901363	ko:K06271	ko04015,ko04510,ko04611,ko05166,map04015,map04510,map04611,map05166	I	Vitellogenin_N(PF01347.29);Vit_open_b-sht(PF09172.17);VWD(PF00094.31);C8(PF08742.17)
TRINITY_DN19121_c0_g1_i37.p1	True	True	0.94	35	SP(Sec/SPI)	0		XP_046668250.1	XP_046668250.1 A disintegrin and metalloproteinase	59.2	3.35e-65	Homalodisca vitripennis	It is involved in the biological process described with proteolysis	GO:0000003,GO:0001568,GO:0001944,GO:0003006,GO:0003170,GO:0003179,GO:0003229,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006508,GO:0006516,GO:0006807,GO:0006810,GO:0006888,GO:0006928,GO:0007155,GO:0007160,GO:0007275,GO:0007507,GO:0007517,GO:0007548,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0008406,GO:0009056,GO:0009057,GO:0009100,GO:0009653,GO:0009887,GO:0009888,GO:0009966,GO:0009967,GO:0009987,GO:0010594,GO:0010596,GO:0010632,GO:0010633,GO:0010646,GO:0010647,GO:0010941,GO:0012505,GO:0014706,GO:0016043,GO:0016192,GO:0016477,GO:0016525,GO:0016787,GO:0019538,GO:0022414,GO:0022603,GO:0022610,GO:0023051,GO:0023056,GO:0030163,GO:0030198,GO:0030334,GO:0030336,GO:0031012,GO:0031589,GO:0032501,GO:0032502,GO:0032879,GO:0035239,GO:0035295,GO:0035904,GO:0035909,GO:0040011,GO:0040012,GO:0040013,GO:0042981,GO:0043062,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044087,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0045137,GO:0045595,GO:0045597,GO:0045634,GO:0045636,GO:0045765,GO:0046907,GO:0048070,GO:0048087,GO:0048193,GO:0048513,GO:0048514,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048608,GO:0048644,GO:0048731,GO:0048738,GO:0048844,GO:0048856,GO:0048870,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050932,GO:0050942,GO:0051093,GO:0051094,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051270,GO:0051271,GO:0051641,GO:0051649,GO:0051674,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0060537,GO:0060548,GO:0060840,GO:0061061,GO:0061458,GO:0065007,GO:0065008,GO:0070011,GO:0071704,GO:0071840,GO:0072358,GO:0072359,GO:0090673,GO:0099174,GO:0140096,GO:1901135,GO:1901136,GO:1901342,GO:1901343,GO:1901564,GO:1901565,GO:1901575,GO:1903670,GO:1903671,GO:1905606,GO:1905607,GO:1905809,GO:2000026,GO:2000145,GO:2000146,GO:2000181	ko:K08621,ko:K08624,ko:K09609		O	Pep_M12B_propep(PF01562.25)
TRINITY_DN1314_c0_g2_i2.p1	True	True	1.0	17	SP(Sec/SPI)	0												
TRINITY_DN39641_c0_g1_i1.p1	True	True	1.0	21	SP(Sec/SPI)	0		BAI63723.1	BAI63723.1 ace-orthologous acetylcholinesterase [N	84.1	0.0	Nephotettix cincticeps	Carboxylesterase family	GO:0001101,GO:0001503,GO:0001505,GO:0001507,GO:0001540,GO:0001649,GO:0001654,GO:0001919,GO:0001975,GO:0002076,GO:0002119,GO:0002164,GO:0002791,GO:0002793,GO:0003008,GO:0003674,GO:0003824,GO:0003990,GO:0004104,GO:0005488,GO:0005515,GO:0005518,GO:0005575,GO:0005576,GO:0005604,GO:0005605,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005641,GO:0005737,GO:0005783,GO:0005788,GO:0005791,GO:0005794,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006576,GO:0006581,GO:0006629,GO:0006644,GO:0006650,GO:0006656,GO:0006725,GO:0006793,GO:0006796,GO:0006805,GO:0006807,GO:0006810,GO:0006897,GO:0006898,GO:0006950,GO:0006996,GO:0007010,GO:0007154,GO:0007155,GO:0007267,GO:0007268,GO:0007271,GO:0007275,GO:0007399,GO:0007416,GO:0007423,GO:0007517,GO:0007528,GO:0007584,GO:0007610,GO:0007611,GO:0007612,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0008283,GO:0008285,GO:0008291,GO:0008610,GO:0008654,GO:0009056,GO:0009058,GO:0009059,GO:0009308,GO:0009310,GO:0009314,GO:0009410,GO:0009416,GO:0009453,GO:0009605,GO:0009611,GO:0009628,GO:0009636,GO:0009653,GO:0009719,GO:0009725,GO:0009743,GO:0009746,GO:0009749,GO:0009791,GO:0009820,GO:0009986,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010646,GO:0010648,GO:0010720,GO:0010769,GO:0010770,GO:0010817,GO:0010927,GO:0010975,GO:0010976,GO:0012505,GO:0014016,GO:0014070,GO:0014075,GO:0016020,GO:0016043,GO:0016192,GO:0016787,GO:0016788,GO:0017144,GO:0017171,GO:0019222,GO:0019538,GO:0019637,GO:0019695,GO:0019899,GO:0022008,GO:0022603,GO:0022604,GO:0022607,GO:0022610,GO:0023051,GO:0023052,GO:0023057,GO:0030029,GO:0030036,GO:0030154,GO:0030182,GO:0030239,GO:0030424,GO:0030425,GO:0031012,GO:0031032,GO:0031323,GO:0031344,GO:0031346,GO:0031594,GO:0031623,GO:0031667,GO:0031960,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0032222,GO:0032223,GO:0032501,GO:0032502,GO:0032800,GO:0032879,GO:0032880,GO:0032989,GO:0033218,GO:0033265,GO:0033273,GO:0033986,GO:0033993,GO:0034284,GO:0034641,GO:0034645,GO:0035188,GO:0036477,GO:0040011,GO:0040012,GO:0042127,GO:0042133,GO:0042135,GO:0042136,GO:0042165,GO:0042166,GO:0042221,GO:0042277,GO:0042330,GO:0042331,GO:0042402,GO:0042426,GO:0042445,GO:0042447,GO:0042493,GO:0042562,GO:0042692,GO:0042734,GO:0042737,GO:0042802,GO:0042803,GO:0042982,GO:0042995,GO:0043005,GO:0043010,GO:0043025,GO:0043058,GO:0043083,GO:0043112,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043236,GO:0043279,GO:0043621,GO:0043933,GO:0044085,GO:0044106,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044255,GO:0044260,GO:0044297,GO:0044420,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044432,GO:0044444,GO:0044446,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0044877,GO:0045017,GO:0045202,GO:0045211,GO:0045212,GO:0045213,GO:0045471,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0046448,GO:0046470,GO:0046474,GO:0046483,GO:0046486,GO:0046677,GO:0046983,GO:0048468,GO:0048471,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048646,GO:0048666,GO:0048699,GO:0048731,GO:0048814,GO:0048856,GO:0048863,GO:0048869,GO:0050708,GO:0050714,GO:0050767,GO:0050769,GO:0050770,GO:0050772,GO:0050773,GO:0050775,GO:0050783,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050804,GO:0050805,GO:0050808,GO:0050840,GO:0050877,GO:0050879,GO:0050890,GO:0050896,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051094,GO:0051128,GO:0051130,GO:0051146,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051239,GO:0051240,GO:0051259,GO:0051262,GO:0051384,GO:0051593,GO:0051716,GO:0051960,GO:0051962,GO:0052689,GO:0055001,GO:0055002,GO:0060041,GO:0060255,GO:0060284,GO:0061061,GO:0062023,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070201,GO:0070405,GO:0070887,GO:0070925,GO:0070997,GO:0071229,GO:0071310,GO:0071405,GO:0071466,GO:0071684,GO:0071704,GO:0071840,GO:0071944,GO:0090087,GO:0090304,GO:0090407,GO:0097060,GO:0097164,GO:0097305,GO:0097306,GO:0097366,GO:0097435,GO:0097447,GO:0097458,GO:0098590,GO:0098657,GO:0098793,GO:0098794,GO:0098916,GO:0099177,GO:0099536,GO:0099537,GO:0120025,GO:0120035,GO:0120038,GO:1900006,GO:1900619,GO:1901360,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901698,GO:1901700,GO:1901701,GO:1903530,GO:1903532,GO:1904951,GO:2000026	ko:K01049,ko:K01050	ko00564,ko04725,map00564,map04725	T	COesterase(PF00135.35);BD-FAE(PF20434.6);Abhydrolase_3(PF07859.20)
TRINITY_DN17042_c0_g1_i14.p1	True	True	1.0	45	SP(Sec/SPI)	0												
