contig	rdrp_pfam_hit	rdrp_domain_evalue	blastx_best_hit	blastx_identity	blastx_evalue	provavel_afiliacao	confianca	relevante_para_amarelao
TRINITY_DN5315_c0_g1_i1	Flavi_NS5 + Flavi_NS5_thumb + RdRP_1	1.3e-33 / 1.1e-41 / 8.2e-10	NS5-like protein [Wuhan flea virus]	41.6%	1.75e-219	Flavi-like virus (grupo Jingmenvirus/Wuhan insect virus, Shi et al. 2016)	ALTA (dominio+BLAST concordam, alinhamento quase completo)	Nao - virus especifico de inseto conhecido, sem precedente de fitopatogenicidade
TRINITY_DN9206_c0_g1_i1	RdRP_1	4.1e-07	protein A [Boolarra virus]	87.6%	0.0	Permutotetravirus-like (Boolarra virus)	ALTA (identidade quase de especie, alinhamento quase completo 991aa)	Nao - virus de inseto (Nudaurelia beta-like), sem precedente em planta
TRINITY_DN124330_c0_g4_i1	RdRP_1	8.2e-10	replicase polyprotein [Drosophila C virus]	69.8%	1.61e-43	Dicistroviridae-like (Drosophila C virus)	ALTA	Nao - virus especifico de inseto (Picornavirales), sem precedente em planta
TRINITY_DN242325_c0_g1_i1	CPV_RdRP_N + CPV_RdRP_pol_dom + CPV_RdRP_C	5.2e-27 / 1.6e-58 / 1.7e-12	RNA-dependent RNA polymerase [Cypovirus 1]	26.3%	1.60e-38	Cypovirus-like (Reoviridae, Cypovirus)	MEDIA-ALTA (dominio muito forte, identidade de sequencia baixa = divergente)	Nao - Cypovirus e patogeno de inseto (poliedrose citoplasmatica), nao de planta
TRINITY_DN36972_c1_g1_i1	RdRP_1	9.2e-06	polyprotein [Grapevine vein clearing virus]	26.8%	1.82e-22	Inconclusivo - identidade baixa, dominio fraco	BAIXA	Talvez - Badnavirus de planta, mas evidencia fraca demais para confirmar, precisa validacao adicional (filogenia)
TRINITY_DN10734_c2_g1_i1	RdRP_1	9.2e-06 (isoforma)	ORF3 [Dioscorea nummularia-associated virus]	30.9%	1.52e-40	Inconclusivo - hits inconsistentes entre isoformas do mesmo gene	BAIXA	Nao confirmavel - provavel dominio RT/RdRp superfamilia promiscuo, nao especie especifico
TRINITY_DN10734_c1_g1_i11	RdRP_1	5.6e-06 (isoforma)	ORF B [Trichoplusia ni TED virus]	37.8%	1.04e-80	Inconclusivo - mesma observacao acima	BAIXA	Nao confirmavel
TRINITY_DN10734_c1_g1_i5	RdRP_1	5.9e-06 (isoforma)	reverse transcriptase [Cauliflower mosaic virus]	29.8%	1.34e-49	Inconclusivo - hit a RT (nao RdRp), possivel retroelemento divergente	BAIXA	Nao confirmavel - dominio RT != RdRp, provavel promiscuidade de perfil HMM
TRINITY_DN6866_c3_g1_i7	Permu_RdRp_palm	2.2e-10	sem hit BLASTx significativo (e<=1e-5)	-	-	Inconclusivo - so dominio, sem confirmacao por similaridade	BAIXA-MEDIA	Desconhecido - pode ser virus real muito divergente do RefSeq, ou falso positivo do HMM
TRINITY_DN11520_c0_g2_i16	RRM_RdRP1_2	1.1e-08	sem hit BLASTx significativo	-	-	Inconclusivo	BAIXA-MEDIA	Desconhecido
TRINITY_DN59657_c1_g1_i9	RRM_RdRP1_2	4.8e-07	sem hit BLASTx significativo	-	-	Inconclusivo	BAIXA-MEDIA	Desconhecido
